ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
720,"Farmers’ practices, utilization, conservation and marketing of Bambara groundnut (Vigna subterranea (L.) Verdc.) in Dosso Region, Western Niger",Ibrahim A.R.; Dansi A.; Salifou M.; Ousmane A.; Alzouma A.; Alou W.,Genetic Resources and Crop Evolution,10.1007/s10722-018-0664-z,2018,,Bambara groundnut,Vigna subterranea (L.) Verdc.
721,Agromorphological diversity of local Bambara groundnut (Vigna subterranea (L.) Verdc.) collected in Benin,Gbaguidi A.A.; Dansi A.; Dossou-Aminon I.; Gbemavo D.S.J.C.; Orobiyi A.; Sanoussi F.; Yedomonhan H.,Genetic Resources and Crop Evolution,10.1007/s10722-017-0603-4,2018,,Bambara groundnut ,Vigna subterranea (L.) Verdc.
722,Assessment of different pretreatments to breakage dormancy and improve the seed germination in Elaeocarpus serratus L. - an underutilized multipurpose fruit tree from South India,Raji R.; Siril E.A.,Forest Science and Technology,10.1080/21580103.2018.1507951,2018,,,Elaeocarpus serratus
723,Genetic variability and interrelationships of yield and yield components in faba bean (Vicia faba L.),Singh Y.; Sharma S.; Sekhon B.S.; Verma A.; Sharma S.; Vishalakshi V.,Indian Journal of Ecology,,2017,,Faba bean,Vicia faba L.
724,Thermal requirements for seed germination of underutilized Lippia species,Mattana E.; Sacande M.; Abdul Sanogo K.; Lira R.; Gomez-Barreiro P.; Rogledi M.; Ulian T.,South African Journal of Botany,10.1016/j.sajb.2016.12.020,2017,,Lippi,"L. graveolens, L. javanica and L. multiflora"
725,Experimental Investigations of Performance and Emissions Characteristics of Kusum (Schleichera Oleosa) Biodiesel in a Multi-Cylinder Transportation Diesel Engine,Yadav A.K.; Khan M.E.; Pal A.; Dubey A.M.,Waste and Biomass Valorization,10.1007/s12649-016-9658-2,2017,,Kusum,Schleichera Oleosa
726,Assessment of phenotypic diversity in bitter vetch (Vicia ervilia (L.) Willd.) populations,Livanios I.; Lazaridi E.; Bebeli P.J.,Genetic Resources and Crop Evolution,10.1007/s10722-017-0539-8,2018,,,Vicia ervilia (L.) Willd.
727,Regeneration ability and seedling growth in the miracle plant Synsepalum dulcificum (Schumach. & Thonn.) Daniell,Tchokponhoué D.A.; Achigan-Dako E.G.; N'Danikou S.; Houdégbé A.C.; Aboègnonhou Agossou C.O.; Assogba-Komlan F.; Vodouhè R.S.,Fruits,10.17660/th2018/73.1.2,2018,,Daniell,Synsepalum dulcificum
728,Ethanol-Modified Supercritical Carbon Dioxide Extraction of the Bioactive Lipid Components of Camelina sativa Seed,Belayneh H.D.; Wehling R.L.; Reddy A.K.; Cahoon E.B.; Ciftci O.N.,"JAOCS, Journal of the American Oil Chemists' Society",10.1007/s11746-017-2993-z,2017,,,Camelina sativa
729,Modeling soil temperature to predict emergence,Claverie E.; Lecoeur J.; Letort V.; Cournede P.-H.,"Proceedings - 2016 IEEE International Conference on Functional-Structural Plant Growth Modeling, Simulation, Visualization and Applications, FSPMA 2016",10.1109/FSPMA.2016.7818285,2017,,Maize,Zea Mays L
730,In situ characterization of Fruits and Seeds of a number of White Sapote (Casimiroa edulis Llave & Lex.) accessions in Mexico,Andres Agustin J.; Soto M.; Famiani F.; Cruz-Castillo J.G.,HortScience,10.21273/HORTSCI12432-17,2017,,White sapote,Casimiroa edulis Llave & Lex
731,Agro-biodiversity and challenges of on-farm conservation: the case of plant genetic resources of neglected and underutilized crop species in Ghana,Nyadanu D.; Aboagye L.M.; Akromah R.; Dansi A.,Genetic Resources and Crop Evolution,10.1007/s10722-015-0327-2,2016,,,
732,"Juncus quartinianus (Juncaceae, sect. Ozophyllum): A neglected species from the horn of Africa and its re-description based on morphological SEM studies",Faltyn A.; Jakubska-Busse A.; Jarzembowski P.; Pro?ków J.,PLoS ONE,10.1371/journal.pone.0167838,2017,,Juncus quartinianus,Juncaceae sect. Ozophyllum
733,Sustainable production for more resilient food production systems: Case study of African indigenous vegetables in eastern Africa,Weller S.C.; Van Wyk E.; Simon J.E.,Acta Horticulturae,10.17660/ActaHortic.2015.1102.35,2015,,"Cowpea,kale, African eggplant ","Solanum scabrum, S. villosum,  Cleome gynandra, Brassica carinata, Vigna unguiculata, S. aethiopicum"
734,Nutritional and antinutritional assessment of Mucuna pruriens (L.) DC var. utilis (Wall ex. Wight) Bak. Ex Burck and Mucuna deeringiana (Bort) Merril: An underutilized tribal pulse,Daffodil E.D.; Tresina P.S.; Mohan V.R.,International Food Research Journal,,2016,,"Tribal pulse, Mucuna pruriens",Mucuna pruriens (L.
735,Effects of mild drought stress on the morpho-physiological characteristics of a bambara groundnut segregating population,Chai H.H.; Massawe F.; Mayes S.,Euphytica,10.1007/s10681-015-1581-2,2016,,Bambara groundnut,Vigna subterranea (L) Verdc
736,"Effect of ?-Irradiation on Cooking, Functional and Pasting Properties of Bambara Groundnut (Vigna subterranea [L.] Verdc.) Cultivars",Falade K.O.; Adebiyi A.O.,Journal of Food Process Engineering,10.1111/jfpe.12176,2015,,Bambara groundnut,Vigna subterranea [L.] Verdc.
737,Utilization of Waste and Under-utilized Pongamia pinnata Seed Oil for Acquiring Maximal Process to Get Ameliorate Yield of Biodiesel Through Response Surface Methodology,Mehmood T.; Shaheen Z.; Malik S.A.; Tabassam Q.; Siddique F.; Jabeen L.,Waste and Biomass Valorization,10.1007/s12649-015-9472-2,2016,,,Pongamia pinnata
738,Importance of indigenous food crops in tropical Africa: Case study,Pichop G.N.; Abukutsa-Onyango M.; Noorani A.; Nono-Womdim R.,Acta Horticulturae,10.17660/ActaHortic.2016.1128.47,2016,,,
739,Performance and emission characteristics of an agricultural diesel engine fueled with blends of Sal methyl esters and diesel,Pali H.S.; Kumar N.; Alhassan Y.,Energy Conversion and Management,10.1016/j.enconman.2014.10.064,2015,,Sal,Shorea robusta
740,Assessment of extraction techniques for total phenolics and flavonoids from Annona muricata seeds,Mahibalan S.; Sharma R.; Vyas A.; Basha S.A.; Begum A.S.,Journal of the Indian Chemical Society,,2013,,,Annona muricata
741,Bio-diversity studies on accessions of African Yam Bean (Sphenostylis stenocarpa),Aremu C.O.; Ibirinde D.B.,International Journal of Agricultural Research,10.3923/ijar.2012.78.85,2012,,African yam bean,Sphenostylis stenocarpa
742,"Growth, phenological and yield responses of a bambara groundnut (Vigna subterranea (L.) Verdc.) landrace to imposed water stress under field conditions",Mabhaudhi T.; Modi A.T.,South African Journal of Plant and Soil,10.1080/02571862.2013.790492,2013,,Bambara groundnut,Vigna subterranea (L.) Verdc.
743,"Propagation and production of Gac (Momordica Cochinchinensis Spreng.), A greenhouse case study",Parks S.E.; Murray C.T.; Gale D.L.; Al-Khawaldeh B.; Spohr L.J.,Experimental Agriculture,10.1017/S0014479712001081,2013,,Gac frui,Momordica cochinchinensis
744,Developing XSpecies approaches for genomics and transcriptomics-using resources developed in major species for research in Bambara groundnut,Hui Hui Chai; Hung-Ming Lai; Hui Guo; Basu S.M.; Massawe F.; Azam-Ali S.; Graham N.; Broadley M.; May S.; Mayes S.,Acta Horticulturae,10.17660/ActaHortic.2013.979.86,2013,,Bambara groundnut,Vigna subterranea L. Verde
745,Wild edible plants as potential antioxidants in vegetables oils,Romojaro A.; Sanchez-Bel P.; Serrano M.; Pretel M.T.,Journal of Chemistry,10.1155/2013/457902,2013,,,Rosa canina and Quercus ballota
746,Nutrient composition and effect of processing treatments on anti nutritional factors of Nigerian sesame (Sesamum indicum Linn) cultivars,Makinde F.M.; Akinoso R.,International Food Research Journal,,2013,,Sesame,Sesamum indicum Linn
747,"Effect of different processing methods on antioxidant activity of underutilized legumes, Entada scandens seed kernel and Canavalia gladiata seeds",Sasipriya G.; Siddhuraju P.,Food and Chemical Toxicology,10.1016/j.fct.2012.05.048,2012,,,Entada scandens and Canavalia gladiata 
748,Cytotoxic constituents of Pachyrhizus tuberosas from Peruvian Amazon,Leuner O.; Havlik J.; Budesinsky M.; Vrkoslav V.; Chu J.; Bradshaw T.D.; Hummelova J.; Miksatkova P.; Lapcik O.; Valterova I.; Kokoska L.,Natural Product Communications,,2013,,,Pachyrhizus tuberosus
749,Antibacterial activities of nonionic and anionic surfactants from Citrullus lanatus seed oil,Adewuyi A.; Oderinde R.A.; Ademisoye A.O.,Jundishapur Journal of Microbiology,10.5812/jjm.2553,2013,,,Citrullus lanatus
750,Physicochemical properties of carboxymethylated flamboyant (Delonix regia) seed gum,Pacheco-Aguirre J.; Rosado-Rubio G.; Betancur-Ancona D.; Chel-Guerrero L.,CYTA - Journal of Food,10.1080/19476330903322960,2010,,Flamboyant,Delonix regia
751,Characteristics and breeding of underutilized japanese rubus genetic resources,Imanishi H.,Acta Horticulturae,10.17660/ActaHortic.2011.918.78,2011,,Japanese rubus,
752,Field collection and conservation of non-cultivated edible species in the germplasm bank of Zaragoza (Spain),Mallor C.; Carravedo M.; Montaner C.,Acta Horticulturae,10.17660/ActaHortic.2011.918.5,2011,,,"Allium ampeloprasum L., Anchusa italica Retz., Asparagus acutifolius L., Borago officinalis L., Bryonia dioica Jacq, Chondrilla juncea L., Eruca sativa Mill., Foeniculum vulgare Mill., Lactuca serriola L., Picris echioides L., Rorippa nasturtium-aquaticum (L.) Hayek, Rumex acetosa L., Scolymus hispanicus L., Scorzonera laciniata L., Silene vulgaris (Moench) Garcke, Silybum marianum (L.) Gaertn. and Taraxacum officinale Weber."
753,Underutilized Annona Species from the Brazilian Cerrado and Amazon Rainforest: A Study on Fatty Acids Profile and Yield of Seed Oils,Egydio A.P.M.; dos Santos D.Y.A.C.,Economic Botany,10.1007/s12231-011-9162-3,2011,,Annona ,Annona cherimola; Annona coriacea; Annona crassiflora; Annona montana; Annona squamosa
754,Comparative study on baobab fruit morphological variation between western and south-eastern Africa: Opportunities for domestication,Sanchez A.C.; De Smedt S.; Haq N.; Samson R.,Genetic Resources and Crop Evolution,10.1007/s10722-010-9647-4,2011,,Baobab tree,Adansonia digitata L
755,"Proximate composition, histochemical analysis and microstructural localisation of nutrients in immature and mature seeds of marama bean (Tylosema esculentum) - An underutilised food legume",Mosele M.M.; Hansen Å.S.; Hansen M.; Schulz A.; Martens H.J.,Food Chemistry,10.1016/j.foodchem.2011.02.017,2011,,Marama bean,Tylosema esculentum
756,The potential for underutilized crops to improve security of food production,Mayes S.; Massawe F.J.; Alderson P.G.; Roberts J.A.; Azam-Ali S.N.; Hermann M.,Journal of Experimental Botany,10.1093/jxb/err396,2012,,,
757,Measurement of Seebeck coefficient of electroplated thermoelectric films in presence of a seed layer,Nguyen H.P.; Su J.; Wang Z.; Vullers R.J.M.; Vereecken P.M.; Fransaer J.,Journal of Materials Research,10.1557/jmr.2011.83,2011,,,
758,Lupinus,Wolko B.; Clements J.C.; Naganowska B.; Nelson M.N.; Yang H.,Wild Crop Relatives: Genomic and Breeding Resources: Legume Crops and Forages,10.1007/978-3-642-14387-8_9,2011,,Lupinus,"L. albus, L. angustifolius and L. luteus"
759,"Analysis of the mineral nutrient, chemical composition and distribution of fatty acids in the lipid classes of the seed oils of underutilized legumes from Nigeria",Adewuyi A.; Oderinde R.A.,Rivista Italiana delle Sostanze Grasse,,2011,,,Bauhinia monandra and Cassia fistula  
760,Physicochemical characteristics of dabai (Canarium odontophyllum Miq.) fruit,Ding P.; Tee Y.K.,Fruits,10.1051/fruits/2010040,2011,,Dabai ,Canarium odontophyllum Miq.
761,Chaerophyllum byzantinum Boiss. and Trachystemon orientalis (L.) G. Don-recently introduced from Turkish wild flora as new crop species among other interesting findings from immigrant gardens in western Germany,Gladis T.; Pistrick K.,Genetic Resources and Crop Evolution,10.1007/s10722-010-9608-y,2011,,,"Chaerophyllum byzantinum, Trachystemon orientalis (L.) G. "
762,Genotypic variation in domesticated and wild accessions of the tropical tuberous legume Vigna vexillata (L.) A. Rich.,Damayanti F.; Lawn R.J.; Bielig L.M.,Crop and Pasture Science,10.1071/CP10029,2010,,,"Bali, a var. macrosperma, Vigna vexillata"
763,Imbibition and response of Pigeon pea (Cajanus cajan L. Mill sp.) and African yam bean (Sphenostylis stenocarpa (Hochst. ex A. Rich) harms) seeds to scarification,Olisa B.S.; Ajayi S.A.; Akande S.R.,Research Journal of Seed Science,10.3923/rjss.2010.150.159,2010,,Pigeon pea and African yam bean ,"Cajanus cajan L. Mill sp., Sphenostylis stenocarpa "
764,Utilization of green seed canola oil for in situ epoxidation,Mungroo R.; Goud V.V.; Naik S.N.; Dalai A.K.,European Journal of Lipid Science and Technology,10.1002/ejlt.201000500,2011,,Green seed,
765,"Carboxylesterases from the seeds of an underutilized legume, Mucuna pruriens; Isolation, purification and characterization",Chandrashekharaiah K.S.; Ramachandra Swamy N.; Siddalinga Murthy K.R.,Phytochemistry,10.1016/j.phytochem.2011.09.004,2011,,,Mucuna pruriens
766,Seed storage characteristics and cryopreservation of genetic resources of tropical underutilized fruits in India,Malik S.K.; Chaudhury R.; Kalia R.K.; Dulloo E.,Acta Horticulturae,10.17660/ActaHortic.2011.918.23,2011,,,"Garcinia indica, Syzygium cumini, Salvadora oleoides, Madhuca indica, Emblica officinalis, Pithecellobium dulce, Tamarindus indica and Ziziphus nummularia, Aegle marmelos, Buchanania lanzan, Capparis decidua, Carissa congesta, Cordia myxa, Diospyros melanoxylon, Grewia subinaequalis and Manilkara hexandra "
767,"Momordica charantia seed extract reduces pre-adipocyte viability, affects lactate dehydrogenase release, and lipid accumulation in 3T3-L1 cells",Popovich D.G.; Lee Y.; Li L.; Zhang W.,Journal of Medicinal Food,10.1089/jmf.2010.1150,2011,,Bitter melon,Momordica charantia
768,Variation among tree tomato (Solanum betaceum Cav.) accessions from different cultivar groups: Implications for conservation of genetic resources and breeding,Acosta-Quezada P.G.; Martínez-Laborde J.B.; Prohens J.,Genetic Resources and Crop Evolution,10.1007/s10722-010-9634-9,2011,,Tree tomato,Solanum betaceum
769,Selected physical and chemical properties of mechanically extracted neem seed oil sourced as a preservative for ligno-cellulose in southwestern Nigeria,Erakhrumen A.A.,Forestry Studies in China,10.1007/s11632-013-0402-8,2011,,Neem ,Azadirachta indica A. Juss
770,The Disease - Preventive Potential of Some Popular and Underutilized Seeds,Bhat R.,"Functional Foods, Nutraceuticals, and Degenerative Disease Prevention",10.1002/9780470960844.ch7,2011,,,
771,Seed image analysis provides evidence of taxonomical differentiation within the Lavatera triloba aggregate (Malvaceae),Bacchetta G.; García P.E.; Grillo O.; Mascia F.; Venora G.,"Flora: Morphology, Distribution, Functional Ecology of Plants",10.1016/j.flora.2011.01.006,2011,,,Lavatera triloba
772,Preliminary assessment of the nutritional composition of underexploited wild legumes from semi-arid Caatinga and moist forest environments of northeastern Brazil,Carvalho A.F.U.; Farias D.F.; da Rocha-Bezerra L.C.B.; de Sousa N.M.; Cavalheiro M.G.; Fernandes G.S.; Brasil I.C.F.; Maia A.A.B.; de Sousa D.O.B.; Vasconcelos I.M.; Gouveia S.T.; Machado O.L.T.,Journal of Food Composition and Analysis,10.1016/j.jfca.2011.01.013,2011,,,
773,Weed harrowing and inter-row hoeing in organic grown quinoa (Chenopodium quinoa Willd.),Jacobsen S.-E.; Christiansen J.L.; Rasmussen J.,Outlook on Agriculture,10.5367/oa.2010.0001,2010,,Quinoa ,Chenopodium quinoa
774,Effect of electron beam irradiation on the quality characteristics of an economically valued tropical legume Mucuna pruriens L. DC,Bhat R.; Sridhar K.R.,"Electronic Journal of Environmental, Agricultural and Food Chemistry",,2008,,,Mucuna pruriens
775,Revision of Spergularia (Caryophyllaceae) in Australia,Adams L.G.; West J.G.; Cowley K.J.,Australian Systematic Botany,10.1071/SB08015,2008,,,"Spergularia nesophila and S. diandroides, S. tasmanica"
776,Technology adoption under seed access constraints and the economic impacts of improved pigeonpea varieties in Tanzania,Shiferaw B.A.; Kebede T.A.; You L.,Agricultural Economics,10.1111/j.1574-0862.2008.00335.x,2008,,Pigeonpea,
777,"Physical properties of skin, flesh, and kernel of Canarium odontophyllum fruit",Azlan A.; Nasir N.N.M.; Amom Z.; Ismail A.,"Journal of Food, Agriculture and Environment",,2009,,,Canarium odontophyllum
778,Physicochemical properties of garden cress (lepidium sativum l.) seed oil,Diwakar B.T.; Dutta P.K.; Lokesh B.R.; Naidu K.A.,"JAOCS, Journal of the American Oil Chemists' Society",10.1007/s11746-009-1523-z,2010,,Garden cress,Lepidium sativum L
779,Ethnic differences in use value and use patterns of baobab (Adansonia digitata L.) in northern Benin,De Caluwé E.; De Smedt S.; Assogbadjo A.E.; Samson R.; Sinsin B.; Van Damme P.,African Journal of Ecology,10.1111/j.1365-2028.2008.01023.x,2009,,Baobab,Adansonia digitata L
780,Estimating gliadin and albumin variation at intra- and interaccession level in USDA oriental wheat (Triticum turgidum L. subsp. turanicum (Jakubz.) (A. Locombining double acute accentve & D. Locombining double acute accentve) collection using capillary zone electrophoresis,Piergiovanni A.R.,Cereal Chemistry,10.1094/CCHEM-86-1-0037,2009,,Oriental wheat,riticum turgidum L. subsp. turanicum 
781,Nutritional composition of underutilized bayberry (Myrica rubra Sieb. et Zucc.) kernels,Cheng J.; Ye X.; Chen J.; Liu D.; Zhou S.,Food Chemistry,10.1016/j.foodchem.2007.09.042,2008,,"Biqi, Zaodamei, Ding-ao, Dongkui and Wandao",
